kawasan,negeri,kodparlimen,namaparlimen,SPR_order,calon,parti,parti2,verified_handle,id,posts,followers,following,name,pronoun,bio,link,202111_post_count,202112_post_count,202201_post_count,202202_post_count,202203_post_count,202204_post_count,202205_post_count,202206_post_count,202207_post_count,202208_post_count,202209_post_count,202210_post_count,202211_post_count,L12M_active_min_0,L12M_active_min_1,L12M_active_min_5,L12M_active_min_10,L12M_active_min_15,L12M_active_min_20,L12M_active_min_25,L12M_active_min_30,L12M_active_min_35,L12M_active_min_40,L12M_active_min_45,L12M_active_min_50,L12M_active_min_55,L12M_active_min_60,L12M_active_min_65,L12M_active_min_70,L12M_active_min_75,L12M_active_min_80,L12M_active_min_85,L12M_active_min_90,L12M_active_min_95,L12M_active_min_100,min_monthly_posts,consistency_grade,common_word_top5,hashtag_top3,mentions_top3,location_top3
SEMENANJUNG,PERLIS,P.001,PADANG BESAR,1,RUSHDAN BIN RUSMI,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.001,PADANG BESAR,2,KO CHU LIANG,PARTI WARISAN SABAH (WARISAN),WARISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.001,PADANG BESAR,3,ZAHIDI BIN ZAINUL ABIDIN,BEBAS (BUKU),BUKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.001,PADANG BESAR,4,ZAHIDA BINTI ZARIK KHAN,BARISAN NASIONAL (BN),BN,zahidazk,672767955.0,5829.0,71438.0,552.0,Zahida Zarik Khan,,Ketua Puteri UMNO Malaysia | Twitter: @ZahidaZK,,52.0,38.0,30.0,28.0,72.0,53.0,44.0,29.0,36.0,16.0,4.0,19.0,41.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"dapatlah, makanan, hadapi, santai, mungkin","#KestabilanDemiKemakmuran x73, #PRNJohor x66, #IniCaraJohor x46",@diraabuzahar x2,"Ibu Pejabat Umno Bahagian Pandan x1, Kg Bukit Tunggal, Segamat x1, Jeti Kuala Kedah-Langkawi x1"
SEMENANJUNG,PERLIS,P.001,PADANG BESAR,5,KAPT (B) HJ MOHAMAD YAHAYA,PAKATAN HARAPAN (PH),PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.002,KANGAR,1,CIKGU ZAKRI,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.002,KANGAR,2,DR FATHUL BARI,BARISAN NASIONAL (BN),BN,drfathulbari,269643765.0,850.0,19355.0,548.0,Fathul Bari Mat Jahya,,International Khayr Ummah Foundation (IKAF),http://www.facebook.com/FathulBariMatJahya,2.0,10.0,2.0,2.0,3.0,3.0,0.0,5.0,7.0,4.0,8.0,2.0,3.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"ولو, nakkan, langau, menghitungnya, syamsulyusoffilm","#DFB x4, #BinaMasaDepan x2, #keluargaMalaysia x2","@ismailsabri60 x4, @faimfaba17 x2, @faisfaba x2",
SEMENANJUNG,PERLIS,P.002,KANGAR,3,PROF. DR. ROHIMI SHAPIEE,PARTI WARISAN SABAH (WARISAN),WARISAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.002,KANGAR,4,AMIN AHMAD,PAKATAN HARAPAN (PH),PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,PERLIS,P.002,KANGAR,5,USTAZ NUR SULAIMAN,PARTI PEJUANG TANAHAIR (PEJUANG),PEJUANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
